n tempo_ms cep_inserido
1 0.000000 61612241
2 76.000000 82263203
3 83.000000 63430152
4 75.000000 66110882
5 267.000000 15502017
6 288.000000 93915781
7 279.000000 37408113
8 291.000000 21556800
9 276.000000 25511358
10 247.000000 39451261
11 254.000000 12280044
12 265.000000 95663740
13 266.000000 71761015
14 244.000000 31281934
15 256.000000 78703857
16 253.000000 84166628
17 251.000000 22878368
18 254.000000 68355323
19 247.000000 41001495
20 267.000000 97337720
21 263.000000 41693430
22 256.000000 36525310
23 260.000000 37726940
24 259.000000 15998157
25 262.000000 82842950
26 269.000000 65979467
27 255.000000 11808430
28 266.000000 30548320
29 266.000000 94629313
30 280.000000 67240444
31 280.000000 78625413
32 271.000000 22759069
33 266.000000 41624131
34 272.000000 97293512
35 272.000000 26862256
36 281.000000 55477434
37 280.000000 21660656
38 313.000000 26945170
39 326.000000 50721775
40 343.000000 51664693
41 307.000000 56513300
42 296.000000 35322371
43 282.000000 59170299
44 288.000000 18131682
45 301.000000 91063293
46 297.000000 92098950
47 301.000000 66834952
48 307.000000 37044754
49 302.000000 58056397
50 303.000000 52373008
51 286.000000 49382718
52 294.000000 52009050
53 305.000000 43550648
54 341.000000 47295567
55 333.000000 57878621
56 314.000000 70716208
57 299.000000 88560040
58 309.000000 48808784
59 307.000000 13618857
60 326.000000 79247003
61 320.000000 97278431
62 315.000000 41366537
63 300.000000 72326905
64 288.000000 52788386
65 302.000000 97853873
66 312.000000 37847196
67 307.000000 92058538
68 310.000000 11703273
69 295.000000 54045048
70 394.000000 77974871
71 379.000000 34717659
72 324.000000 60805661
73 331.000000 35231955
74 332.000000 95526098
75 311.000000 48277928
76 340.000000 75867030
77 341.000000 51619682
78 340.000000 48670348
79 342.000000 75788666
80 361.000000 74752543
81 401.000000 13976361
82 377.000000 28295107
83 329.000000 96707605
84 309.000000 80565219
85 361.000000 48019800
86 359.000000 49881729
87 365.000000 25249466
88 375.000000 48881747
89 398.000000 10234827
90 419.000000 74347115
